Date,Value
9/1/1950,2.49
10/1/1950,2.51
11/1/1950,2.53
12/1/1950,2.55
1/1/1951,2.57
2/1/1951,2.58
3/1/1951,2.59
4/1/1951,2.6
5/1/1951,2.61
6/1/1951,2.62
7/1/1951,2.63
8/1/1951,2.63
9/1/1951,2.64
10/1/1951,2.65
11/1/1951,2.66
12/1/1951,2.67
1/1/1952,2.68
2/1/1952,2.69
3/1/1952,2.71
4/1/1952,2.72
5/1/1952,2.73
6/1/1952,2.74
7/1/1952,2.76
8/1/1952,2.77
9/1/1952,2.78
10/1/1952,2.79
11/1/1952,2.81
12/1/1952,2.82
1/1/1953,2.83
2/1/1953,2.8
3/1/1953,2.77
4/1/1953,2.83
5/1/1953,3.05
6/1/1953,3.11
7/1/1953,2.93
8/1/1953,2.95
9/1/1953,2.87
10/1/1953,2.66
11/1/1953,2.68
12/1/1953,2.59
1/1/1954,2.48
2/1/1954,2.47
3/1/1954,2.37
4/1/1954,2.29
5/1/1954,2.37
6/1/1954,2.38
7/1/1954,2.3
8/1/1954,2.36
9/1/1954,2.38
10/1/1954,2.43
11/1/1954,2.48
12/1/1954,2.51
1/1/1955,2.61
2/1/1955,2.65
3/1/1955,2.68
4/1/1955,2.75
5/1/1955,2.76
6/1/1955,2.78
7/1/1955,2.9
8/1/1955,2.97
9/1/1955,2.97
10/1/1955,2.88
11/1/1955,2.89
12/1/1955,2.96
1/1/1956,2.9
2/1/1956,2.84
3/1/1956,2.96
4/1/1956,3.18
5/1/1956,3.07
6/1/1956,3
7/1/1956,3.11
8/1/1956,3.33
9/1/1956,3.38
10/1/1956,3.34
11/1/1956,3.49
12/1/1956,3.59
1/1/1957,3.46
2/1/1957,3.34
3/1/1957,3.41
4/1/1957,3.48
5/1/1957,3.6
6/1/1957,3.8
7/1/1957,3.93
8/1/1957,3.93
9/1/1957,3.92
10/1/1957,3.97
11/1/1957,3.72
12/1/1957,3.21
1/1/1958,3.09
2/1/1958,3.05
3/1/1958,2.98
4/1/1958,2.88
5/1/1958,2.92
6/1/1958,2.97
7/1/1958,3.2
8/1/1958,3.54
9/1/1958,3.76
10/1/1958,3.8
11/1/1958,3.74
12/1/1958,3.86
1/1/1959,4.02
2/1/1959,3.96
3/1/1959,3.99
4/1/1959,4.12
5/1/1959,4.31
6/1/1959,4.34
7/1/1959,4.4
8/1/1959,4.43
9/1/1959,4.68
